arrival_date,state,district,market,commodity,variety,min_price,max_price,modal_price,arrivals_in_qtl
2019_02_08,Uttar Pradesh,Agra,Agra,Potato,Desi,1155.9,1442.2,1278.5,2086
2019_02_09,Uttar Pradesh,Agra,Agra,Potato,Desi,1174.0,1381.0,1274.4,2144
2019_02_10,Uttar Pradesh,Agra,Agra,Potato,Desi,1222.8,1446.9,1292.0,1809
2019_02_11,Uttar Pradesh,Agra,Agra,Potato,Desi,1235.8,1373.0,1300.9,1866
2019_02_12,Uttar Pradesh,Agra,Agra,Potato,Desi,1232.1,1480.6,1298.8,2038
2019_02_13,Uttar Pradesh,Agra,Agra,Potato,Desi,1181.9,1381.5,1270.9,2079
2019_02_14,Uttar Pradesh,Agra,Agra,Potato,Desi,1178.2,1384.7,1273.4,2124
2019_02_15,Uttar Pradesh,Agra,Agra,Potato,Desi,1137.9,1347.0,1258.2,2635
2019_02_16,Uttar Pradesh,Agra,Agra,Potato,Desi,1145.6,1366.8,1214.5,1735
2019_02_17,Uttar Pradesh,Agra,Agra,Potato,Desi,1132.2,1259.3,1198.0,2849
2019_02_18,Uttar Pradesh,Agra,Agra,Potato,Desi,1103.1,1301.9,1215.7,1628
2019_02_19,Uttar Pradesh,Agra,Agra,Potato,Desi,1149.3,1385.1,1216.2,1390
2019_02_20,Uttar Pradesh,Agra,Agra,Potato,Desi,1126.4,1413.9,1231.9,1624
2019_02_21,Uttar Pradesh,Agra,Agra,Potato,Desi,1149.2,1367.9,1252.1,2316
2019_02_22,Uttar Pradesh,Agra,Agra,Potato,Desi,1113.2,1426.0,1253.6,1515
2019_02_23,Uttar Pradesh,Agra,Agra,Potato,Desi,1117.3,1321.9,1242.8,1714
2019_02_24,Uttar Pradesh,Agra,Agra,Potato,Desi,1132.4,1353.2,1225.7,1974
2019_02_25,Uttar Pradesh,Agra,Agra,Potato,Desi,1116.6,1335.6,1223.2,1355
2019_02_26,Uttar Pradesh,Agra,Agra,Potato,Desi,1119.1,1383.4,1209.3,1749
2019_02_27,Uttar Pradesh,Agra,Agra,Potato,Desi,1064.5,1329.9,1192.6,2506
2019_02_28,Uttar Pradesh,Agra,Agra,Potato,Desi,1086.5,1356.1,1183.2,1557
2019_03_01,Uttar Pradesh,Agra,Agra,Potato,Desi,1110.7,1281.6,1179.3,2974
2019_03_02,Uttar Pradesh,Agra,Agra,Potato,Desi,1048.8,1344.1,1175.9,2514
2019_03_03,Uttar Pradesh,Agra,Agra,Potato,Desi,1080.5,1278.6,1174.7,2082
2019_03_04,Uttar Pradesh,Agra,Agra,Potato,Desi,1069.6,1295.5,1180.3,2012
2019_03_05,Uttar Pradesh,Agra,Agra,Potato,Desi,1106.0,1276.3,1177.7,2781
2019_03_06,Uttar Pradesh,Agra,Agra,Potato,Desi,1082.6,1247.7,1187.7,1493
2019_03_07,Uttar Pradesh,Agra,Agra,Potato,Desi,1053.5,1281.4,1196.9,2588
2019_03_08,Uttar Pradesh,Agra,Agra,Potato,Desi,1138.6,1391.2,1209.8,1555
2019_03_09,Uttar Pradesh,Agra,Agra,Potato,Desi,1110.3,1367.2,1207.1,1548
2019_03_10,Uttar Pradesh,Agra,Agra,Potato,Desi,1067.5,1283.1,1189.0,1904
2019_03_11,Uttar Pradesh,Agra,Agra,Potato,Desi,1064.3,1252.5,1185.3,1854
2019_03_12,Uttar Pradesh,Agra,Agra,Potato,Desi,1105.1,1330.4,1171.9,2884
2019_03_13,Uttar Pradesh,Agra,Agra,Potato,Desi,1102.5,1325.1,1182.5,2621
2019_03_14,Uttar Pradesh,Agra,Agra,Potato,Desi,1027.4,1310.0,1162.4,2768
2019_03_15,Uttar Pradesh,Agra,Agra,Potato,Desi,1080.1,1324.6,1167.2,2796
2019_03_16,Uttar Pradesh,Agra,Agra,Potato,Desi,1059.3,1300.0,1170.1,1810
2019_03_17,Uttar Pradesh,Agra,Agra,Potato,Desi,1054.1,1356.2,1179.9,1540
2019_03_18,Uttar Pradesh,Agra,Agra,Potato,Desi,1050.7,1256.4,1183.4,2656
2019_03_19,Uttar Pradesh,Agra,Agra,Potato,Desi,1123.2,1356.9,1182.5,1974
2019_03_20,Uttar Pradesh,Agra,Agra,Potato,Desi,1063.5,1294.7,1167.5,2112
2019_03_21,Uttar Pradesh,Agra,Agra,Potato,Desi,1069.5,1270.1,1190.3,2439
2019_03_22,Uttar Pradesh,Agra,Agra,Potato,Desi,1075.9,1253.2,1189.1,2707
2019_03_23,Uttar Pradesh,Agra,Agra,Potato,Desi,1102.7,1328.5,1183.9,2778
2019_03_24,Uttar Pradesh,Agra,Agra,Potato,Desi,1077.2,1349.6,1185.1,2422
2019_03_25,Uttar Pradesh,Agra,Agra,Potato,Desi,1078.5,1324.8,1200.0,1927
2019_03_26,Uttar Pradesh,Agra,Agra,Potato,Desi,1055.1,1289.9,1195.8,2097
2019_03_27,Uttar Pradesh,Agra,Agra,Potato,Desi,1132.6,1319.5,1210.8,1954
2019_03_28,Uttar Pradesh,Agra,Agra,Potato,Desi,1129.9,1372.4,1212.5,2919
2019_03_29,Uttar Pradesh,Agra,Agra,Potato,Desi,1091.6,1380.5,1221.4,2834
2019_03_30,Uttar Pradesh,Agra,Agra,Potato,Desi,1123.7,1322.1,1223.5,1629
2019_03_31,Uttar Pradesh,Agra,Agra,Potato,Desi,1101.7,1411.2,1231.3,2155
2019_04_01,Uttar Pradesh,Agra,Agra,Potato,Desi,1121.9,1342.1,1250.0,1087
2019_04_02,Uttar Pradesh,Agra,Agra,Potato,Desi,1179.4,1385.8,1262.2,697
2019_04_03,Uttar Pradesh,Agra,Agra,Potato,Desi,1136.0,1419.5,1290.8,1262
2019_04_04,Uttar Pradesh,Agra,Agra,Potato,Desi,1228.0,1452.9,1294.3,950
2019_04_05,Uttar Pradesh,Agra,Agra,Potato,Desi,1212.4,1474.7,1316.8,990
2019_04_06,Uttar Pradesh,Agra,Agra,Potato,Desi,1160.4,1386.0,1312.0,1281
2019_04_07,Uttar Pradesh,Agra,Agra,Potato,Desi,1204.9,1435.0,1322.7,733
2019_04_08,Uttar Pradesh,Agra,Agra,Potato,Desi,1211.9,1491.2,1314.6,615
2019_04_09,Uttar Pradesh,Agra,Agra,Potato,Desi,1198.0,1500.6,1307.0,618
2019_04_10,Uttar Pradesh,Agra,Agra,Potato,Desi,1199.1,1456.8,1331.4,614
2019_04_11,Uttar Pradesh,Agra,Agra,Potato,Desi,1255.9,1552.0,1367.2,709
2019_04_12,Uttar Pradesh,Agra,Agra,Potato,Desi,1204.7,1520.4,1368.0,857
2019_04_13,Uttar Pradesh,Agra,Agra,Potato,Desi,1268.2,1511.6,1355.6,1253
2019_04_14,Uttar Pradesh,Agra,Agra,Potato,Desi,1226.7,1493.1,1359.1,1171
2019_04_15,Uttar Pradesh,Agra,Agra,Potato,Desi,1192.3,1451.3,1350.6,871
2019_04_16,Uttar Pradesh,Agra,Agra,Potato,Desi,1271.5,1445.7,1374.3,957
2019_04_17,Uttar Pradesh,Agra,Agra,Potato,Desi,1278.5,1572.0,1386.9,1287
2019_04_18,Uttar Pradesh,Agra,Agra,Potato,Desi,1292.5,1480.2,1398.9,717
2019_04_19,Uttar Pradesh,Agra,Agra,Potato,Desi,1300.0,1562.1,1399.6,923
2019_04_20,Uttar Pradesh,Agra,Agra,Potato,Desi,1234.5,1509.6,1390.6,755
2019_04_21,Uttar Pradesh,Agra,Agra,Potato,Desi,1249.6,1598.5,1410.0,1044
2019_04_22,Uttar Pradesh,Agra,Agra,Potato,Desi,1325.8,1572.5,1410.4,962
2019_04_23,Uttar Pradesh,Agra,Agra,Potato,Desi,1276.5,1567.1,1396.0,1324
2019_04_24,Uttar Pradesh,Agra,Agra,Potato,Desi,1269.3,1507.1,1423.2,952
2019_04_25,Uttar Pradesh,Agra,Agra,Potato,Desi,1348.6,1660.4,1465.1,757
2019_04_26,Uttar Pradesh,Agra,Agra,Potato,Desi,1387.1,1612.0,1468.3,684
2019_04_27,Uttar Pradesh,Agra,Agra,Potato,Desi,1301.0,1691.5,1474.8,963
2019_04_28,Uttar Pradesh,Agra,Agra,Potato,Desi,1355.5,1676.1,1505.6,622
2019_04_29,Uttar Pradesh,Agra,Agra,Potato,Desi,1364.8,1705.2,1499.9,1068
2019_04_30,Uttar Pradesh,Agra,Agra,Potato,Desi,1352.9,1601.0,1518.7,831
2019_05_01,Uttar Pradesh,Agra,Agra,Potato,Desi,1427.8,1630.1,1507.9,680
2019_05_02,Uttar Pradesh,Agra,Agra,Potato,Desi,1436.4,1725.5,1515.5,1080
2019_05_03,Uttar Pradesh,Agra,Agra,Potato,Desi,1327.0,1680.5,1497.9,963
2019_05_04,Uttar Pradesh,Agra,Agra,Potato,Desi,1329.5,1699.2,1493.2,677
2019_05_05,Uttar Pradesh,Agra,Agra,Potato,Desi,1384.4,1678.4,1464.8,1088
2019_05_06,Uttar Pradesh,Agra,Agra,Potato,Desi,1365.9,1643.9,1473.7,929
2019_05_07,Uttar Pradesh,Agra,Agra,Potato,Desi,1367.3,1571.2,1480.8,662
2019_05_08,Uttar Pradesh,Agra,Agra,Potato,Desi,1383.3,1593.9,1463.8,1233
2019_05_09,Uttar Pradesh,Agra,Agra,Potato,Desi,1394.4,1583.6,1501.0,1108
2019_05_10,Uttar Pradesh,Agra,Agra,Potato,Desi,1414.8,1606.7,1501.9,701
2019_05_11,Uttar Pradesh,Agra,Agra,Potato,Desi,1381.2,1680.9,1499.0,1158
2019_05_12,Uttar Pradesh,Agra,Agra,Potato,Desi,1387.6,1610.3,1482.0,690
2019_05_13,Uttar Pradesh,Agra,Agra,Potato,Desi,1361.2,1617.6,1495.3,1334
2019_05_14,Uttar Pradesh,Agra,Agra,Potato,Desi,1309.4,1684.1,1479.7,685
2019_05_15,Uttar Pradesh,Agra,Agra,Potato,Desi,1405.7,1649.6,1492.8,669
2019_05_16,Uttar Pradesh,Agra,Agra,Potato,Desi,1383.9,1631.8,1477.8,1084
2019_05_17,Uttar Pradesh,Agra,Agra,Potato,Desi,1388.5,1621.3,1485.3,954
2019_05_18,Uttar Pradesh,Agra,Agra,Potato,Desi,1369.7,1561.4,1482.1,636
2019_05_19,Uttar Pradesh,Agra,Agra,Potato,Desi,1369.5,1615.9,1495.5,1036
2019_05_20,Uttar Pradesh,Agra,Agra,Potato,Desi,1343.2,1619.1,1473.1,841
2019_05_21,Uttar Pradesh,Agra,Agra,Potato,Desi,1344.0,1603.1,1481.1,901
2019_05_22,Uttar Pradesh,Agra,Agra,Potato,Desi,1330.9,1584.5,1464.7,1073
2019_05_23,Uttar Pradesh,Agra,Agra,Potato,Desi,1298.6,1548.5,1454.6,1269
2019_05_24,Uttar Pradesh,Agra,Agra,Potato,Desi,1301.2,1578.2,1465.2,1172
2019_05_25,Uttar Pradesh,Agra,Agra,Potato,Desi,1320.0,1647.6,1466.6,845
2019_05_26,Uttar Pradesh,Agra,Agra,Potato,Desi,1367.7,1590.1,1473.4,727
2019_05_27,Uttar Pradesh,Agra,Agra,Potato,Desi,1399.2,1602.2,1486.4,1233
2019_05_28,Uttar Pradesh,Agra,Agra,Potato,Desi,1395.1,1574.5,1489.2,1034
2019_05_29,Uttar Pradesh,Agra,Agra,Potato,Desi,1410.0,1615.1,1486.8,1012
2019_05_30,Uttar Pradesh,Agra,Agra,Potato,Desi,1375.4,1652.7,1469.9,1135
2019_05_31,Uttar Pradesh,Agra,Agra,Potato,Desi,1407.2,1723.1,1507.1,1305
2019_06_01,Uttar Pradesh,Agra,Agra,Potato,Desi,1396.7,1649.0,1515.9,753
2019_06_02,Uttar Pradesh,Agra,Agra,Potato,Desi,1349.3,1617.9,1515.0,1130
2019_06_03,Uttar Pradesh,Agra,Agra,Potato,Desi,1356.0,1612.2,1508.6,676
2019_06_04,Uttar Pradesh,Agra,Agra,Potato,Desi,1392.2,1643.2,1511.5,1170
2019_06_05,Uttar Pradesh,Agra,Agra,Potato,Desi,1414.2,1719.1,1510.6,733
2019_06_06,Uttar Pradesh,Agra,Agra,Potato,Desi,1435.1,1717.6,1519.0,1231
2019_06_07,Uttar Pradesh,Agra,Agra,Potato,Desi,1372.5,1627.3,1508.1,1061
2019_06_08,Uttar Pradesh,Agra,Agra,Potato,Desi,1441.4,1680.1,1536.3,580
2019_06_09,Uttar Pradesh,Agra,Agra,Potato,Desi,1396.0,1676.4,1546.8,1245
2019_06_10,Uttar Pradesh,Agra,Agra,Potato,Desi,1382.9,1662.7,1513.1,592
2019_06_11,Uttar Pradesh,Agra,Agra,Potato,Desi,1414.8,1645.7,1517.2,1078
2019_06_12,Uttar Pradesh,Agra,Agra,Potato,Desi,1395.5,1694.5,1530.2,1288
2019_06_13,Uttar Pradesh,Agra,Agra,Potato,Desi,1417.5,1685.4,1505.8,1032
2019_06_14,Uttar Pradesh,Agra,Agra,Potato,Desi,1416.5,1736.4,1524.1,847
2019_06_15,Uttar Pradesh,Agra,Agra,Potato,Desi,1354.9,1620.7,1533.9,1207
2019_06_16,Uttar Pradesh,Agra,Agra,Potato,Desi,1432.1,1675.6,1509.6,1097
2019_06_17,Uttar Pradesh,Agra,Agra,Potato,Desi,1386.5,1649.7,1505.9,910
2019_06_18,Uttar Pradesh,Agra,Agra,Potato,Desi,1336.5,1604.4,1485.7,739
2019_06_19,Uttar Pradesh,Agra,Agra,Potato,Desi,1407.2,1582.6,1499.9,1036
2019_06_20,Uttar Pradesh,Agra,Agra,Potato,Desi,1359.3,1698.6,1482.1,977
2019_06_21,Uttar Pradesh,Agra,Agra,Potato,Desi,1330.7,1629.2,1466.5,1204
2019_06_22,Uttar Pradesh,Agra,Agra,Potato,Desi,1361.2,1675.3,1468.5,1079
2019_06_23,Uttar Pradesh,Agra,Agra,Potato,Desi,1346.3,1675.5,1503.6,1021
2019_06_24,Uttar Pradesh,Agra,Agra,Potato,Desi,1353.5,1692.9,1524.0,756
2019_06_25,Uttar Pradesh,Agra,Agra,Potato,Desi,1391.3,1704.5,1505.7,792
2019_06_26,Uttar Pradesh,Agra,Agra,Potato,Desi,1312.1,1570.9,1484.1,688
2019_06_27,Uttar Pradesh,Agra,Agra,Potato,Desi,1306.5,1684.1,1474.2,1319
2019_06_28,Uttar Pradesh,Agra,Agra,Potato,Desi,1284.1,1601.4,1451.0,1325
2019_06_29,Uttar Pradesh,Agra,Agra,Potato,Desi,1293.1,1614.2,1465.1,1112
2019_06_30,Uttar Pradesh,Agra,Agra,Potato,Desi,1352.0,1631.5,1476.7,899
2019_07_01,Uttar Pradesh,Agra,Agra,Potato,Desi,1326.3,1715.3,1492.4,1125
2019_07_02,Uttar Pradesh,Agra,Agra,Potato,Desi,1416.2,1670.0,1493.0,789
2019_07_03,Uttar Pradesh,Agra,Agra,Potato,Desi,1412.0,1702.1,1494.9,1100
2019_07_04,Uttar Pradesh,Agra,Agra,Potato,Desi,1371.3,1624.9,1476.5,750
2019_07_05,Uttar Pradesh,Agra,Agra,Potato,Desi,1305.2,1633.4,1481.4,954
2019_07_06,Uttar Pradesh,Agra,Agra,Potato,Desi,1350.8,1579.6,1502.9,649
2019_07_07,Uttar Pradesh,Agra,Agra,Potato,Desi,1412.4,1689.6,1495.0,883
2019_07_08,Uttar Pradesh,Agra,Agra,Potato,Desi,1396.4,1686.1,1501.7,620
2019_07_09,Uttar Pradesh,Agra,Agra,Potato,Desi,1391.2,1587.5,1502.4,1173
2019_07_10,Uttar Pradesh,Agra,Agra,Potato,Desi,1336.1,1656.0,1492.8,1077
2019_07_11,Uttar Pradesh,Agra,Agra,Potato,Desi,1332.4,1646.5,1501.4,1097
2019_07_12,Uttar Pradesh,Agra,Agra,Potato,Desi,1434.8,1751.3,1532.0,755
2019_07_13,Uttar Pradesh,Agra,Agra,Potato,Desi,1428.4,1644.6,1554.6,972
2019_07_14,Uttar Pradesh,Agra,Agra,Potato,Desi,1368.6,1722.7,1537.5,874
2019_07_15,Uttar Pradesh,Agra,Agra,Potato,Desi,1440.3,1674.6,1538.0,1312
2019_07_16,Uttar Pradesh,Agra,Agra,Potato,Desi,1471.5,1633.0,1549.2,1085
2019_07_17,Uttar Pradesh,Agra,Agra,Potato,Desi,1371.4,1724.9,1548.7,789
2019_07_18,Uttar Pradesh,Agra,Agra,Potato,Desi,1380.0,1660.4,1524.1,1222
2019_07_19,Uttar Pradesh,Agra,Agra,Potato,Desi,1388.2,1604.4,1509.8,801
2019_07_20,Uttar Pradesh,Agra,Agra,Potato,Desi,1346.2,1617.7,1519.9,720
2019_07_21,Uttar Pradesh,Agra,Agra,Potato,Desi,1385.5,1704.8,1552.2,1223
2019_07_22,Uttar Pradesh,Agra,Agra,Potato,Desi,1374.4,1684.7,1538.7,1113
2019_07_23,Uttar Pradesh,Agra,Agra,Potato,Desi,1435.3,1602.0,1520.4,740
2019_07_24,Uttar Pradesh,Agra,Agra,Potato,Desi,1449.2,1736.8,1538.9,1026
2019_07_25,Uttar Pradesh,Agra,Agra,Potato,Desi,1414.4,1628.0,1541.4,755
2019_07_26,Uttar Pradesh,Agra,Agra,Potato,Desi,1390.2,1621.0,1532.9,790
2019_07_27,Uttar Pradesh,Agra,Agra,Potato,Desi,1434.8,1675.8,1528.0,704
2019_07_28,Uttar Pradesh,Agra,Agra,Potato,Desi,1358.1,1702.7,1524.3,1299
2019_07_29,Uttar Pradesh,Agra,Agra,Potato,Desi,1435.3,1729.9,1536.2,1162
2019_07_30,Uttar Pradesh,Agra,Agra,Potato,Desi,1402.1,1752.7,1538.6,704
2019_07_31,Uttar Pradesh,Agra,Agra,Potato,Desi,1368.5,1587.9,1510.2,1013
2019_08_01,Uttar Pradesh,Agra,Agra,Potato,Desi,1428.1,1621.6,1515.0,1042
2019_08_02,Uttar Pradesh,Agra,Agra,Potato,Desi,1390.0,1719.8,1553.5,1340
2019_08_03,Uttar Pradesh,Agra,Agra,Potato,Desi,1474.8,1735.3,1579.1,944
2019_08_04,Uttar Pradesh,Agra,Agra,Potato,Desi,1522.1,1778.7,1607.0,834
2019_08_05,Uttar Pradesh,Agra,Agra,Potato,Desi,1454.4,1756.4,1596.5,609
2019_08_06,Uttar Pradesh,Agra,Agra,Potato,Desi,1491.9,1766.1,1608.0,601
2019_08_07,Uttar Pradesh,Agra,Agra,Potato,Desi,1472.8,1793.2,1630.1,663
2019_08_08,Uttar Pradesh,Agra,Agra,Potato,Desi,1492.1,1865.2,1635.6,1246
2019_08_09,Uttar Pradesh,Agra,Agra,Potato,Desi,1537.4,1848.2,1661.7,1157
2019_08_10,Uttar Pradesh,Agra,Agra,Potato,Desi,1502.1,1800.9,1648.8,1136
2019_08_11,Uttar Pradesh,Agra,Agra,Potato,Desi,1522.4,1854.3,1656.5,744
2019_08_12,Uttar Pradesh,Agra,Agra,Potato,Desi,1477.6,1761.8,1648.7,780
2019_08_13,Uttar Pradesh,Agra,Agra,Potato,Desi,1586.2,1916.8,1680.1,622
2019_08_14,Uttar Pradesh,Agra,Agra,Potato,Desi,1576.2,1832.8,1681.9,693
2019_08_15,Uttar Pradesh,Agra,Agra,Potato,Desi,1542.5,1881.7,1680.6,1017
2019_08_16,Uttar Pradesh,Agra,Agra,Potato,Desi,1492.5,1807.9,1661.7,1041
2019_08_17,Uttar Pradesh,Agra,Agra,Potato,Desi,1588.5,1772.2,1680.7,855
2019_08_18,Uttar Pradesh,Agra,Agra,Potato,Desi,1541.7,1900.7,1691.9,1176
2019_08_19,Uttar Pradesh,Agra,Agra,Potato,Desi,1502.5,1915.1,1694.1,811
2019_08_20,Uttar Pradesh,Agra,Agra,Potato,Desi,1600.5,1884.9,1708.1,655
2019_08_21,Uttar Pradesh,Agra,Agra,Potato,Desi,1555.5,1935.1,1731.0,1098
2019_08_22,Uttar Pradesh,Agra,Agra,Potato,Desi,1550.0,1965.6,1736.4,1261
2019_08_23,Uttar Pradesh,Agra,Agra,Potato,Desi,1563.0,1979.7,1746.4,1020
2019_08_24,Uttar Pradesh,Agra,Agra,Potato,Desi,1655.5,1908.9,1758.1,748
2019_08_25,Uttar Pradesh,Agra,Agra,Potato,Desi,1604.8,1895.2,1723.5,1113
2019_08_26,Uttar Pradesh,Agra,Agra,Potato,Desi,1571.1,1968.9,1734.3,1219
2019_08_27,Uttar Pradesh,Agra,Agra,Potato,Desi,1503.9,1865.3,1703.3,1013
2019_08_28,Uttar Pradesh,Agra,Agra,Potato,Desi,1532.5,1912.4,1705.6,1204
2019_08_29,Uttar Pradesh,Agra,Agra,Potato,Desi,1549.8,1957.5,1718.7,922
2019_08_30,Uttar Pradesh,Agra,Agra,Potato,Desi,1571.5,1847.0,1684.7,944
2019_08_31,Uttar Pradesh,Agra,Agra,Potato,Desi,1594.5,1795.7,1688.4,810
2019_09_01,Uttar Pradesh,Agra,Agra,Potato,Desi,1505.3,1787.8,1684.2,1021
2019_09_02,Uttar Pradesh,Agra,Agra,Potato,Desi,1570.6,1810.2,1682.1,649
2019_09_03,Uttar Pradesh,Agra,Agra,Potato,Desi,1554.4,1932.4,1699.8,1013
2019_09_04,Uttar Pradesh,Agra,Agra,Potato,Desi,1614.7,1982.5,1738.8,1164
2019_09_05,Uttar Pradesh,Agra,Agra,Potato,Desi,1643.8,1992.0,1754.5,1025
2019_09_06,Uttar Pradesh,Agra,Agra,Potato,Desi,1591.4,1984.9,1755.7,1192
2019_09_07,Uttar Pradesh,Agra,Agra,Potato,Desi,1563.4,1851.2,1729.5,978
2019_09_08,Uttar Pradesh,Agra,Agra,Potato,Desi,1584.3,1892.1,1757.8,1108
2019_09_09,Uttar Pradesh,Agra,Agra,Potato,Desi,1576.1,1898.9,1755.2,1030
2019_09_10,Uttar Pradesh,Agra,Agra,Potato,Desi,1596.6,1968.3,1722.1,1115
2019_09_11,Uttar Pradesh,Agra,Agra,Potato,Desi,1537.7,1865.1,1701.1,1189
2019_09_12,Uttar Pradesh,Agra,Agra,Potato,Desi,1524.1,1928.1,1678.8,1011
2019_09_13,Uttar Pradesh,Agra,Agra,Potato,Desi,1536.2,1845.6,1660.4,601
2019_09_14,Uttar Pradesh,Agra,Agra,Potato,Desi,1587.2,1921.7,1682.9,1292
2019_09_15,Uttar Pradesh,Agra,Agra,Potato,Desi,1525.4,1856.6,1689.4,1335
2019_09_16,Uttar Pradesh,Agra,Agra,Potato,Desi,1595.2,1885.1,1702.4,719
2019_09_17,Uttar Pradesh,Agra,Agra,Potato,Desi,1459.4,1742.5,1650.3,1105
2019_09_18,Uttar Pradesh,Agra,Agra,Potato,Desi,1551.6,1813.2,1668.4,633
2019_09_19,Uttar Pradesh,Agra,Agra,Potato,Desi,1542.5,1800.0,1683.5,1149
2019_09_20,Uttar Pradesh,Agra,Agra,Potato,Desi,1560.9,1843.2,1651.9,663
2019_09_21,Uttar Pradesh,Agra,Agra,Potato,Desi,1506.2,1772.4,1632.0,1040
2019_09_22,Uttar Pradesh,Agra,Agra,Potato,Desi,1560.3,1893.1,1657.3,654
2019_09_23,Uttar Pradesh,Agra,Agra,Potato,Desi,1500.6,1768.3,1649.5,934
2019_09_24,Uttar Pradesh,Agra,Agra,Potato,Desi,1553.5,1839.4,1672.1,582
2019_09_25,Uttar Pradesh,Agra,Agra,Potato,Desi,1479.4,1815.5,1675.3,1305
2019_09_26,Uttar Pradesh,Agra,Agra,Potato,Desi,1540.8,1810.6,1668.5,1332
2019_09_27,Uttar Pradesh,Agra,Agra,Potato,Desi,1476.3,1906.4,1668.9,728
2019_09_28,Uttar Pradesh,Agra,Agra,Potato,Desi,1546.2,1773.3,1634.2,884
2019_09_29,Uttar Pradesh,Agra,Agra,Potato,Desi,1541.2,1781.5,1645.4,1300
2019_09_30,Uttar Pradesh,Agra,Agra,Potato,Desi,1538.8,1829.0,1626.6,902
2019_10_01,Uttar Pradesh,Agra,Agra,Potato,Desi,1475.5,1686.5,1597.0,1194
