date,district,ndvi_mean
2021_05_05,Nashik,0.339
2021_05_10,Nashik,0.329
2021_05_15,Nashik,0.381
2021_05_20,Nashik,0.399
2021_05_25,Nashik,0.405
2021_05_30,Nashik,0.49
2021_06_04,Nashik,0.522
2021_06_09,Nashik,0.656
2021_06_14,Nashik,0.586
2021_06_19,Nashik,0.747
2021_06_24,Nashik,0.719
2021_06_29,Nashik,0.657
2021_07_04,Nashik,0.73
2021_07_09,Nashik,0.661
2021_07_14,Nashik,0.64
2021_07_19,Nashik,0.536
2021_07_24,Nashik,0.365
2021_07_29,Nashik,0.462
2021_08_03,Nashik,0.367
2021_08_08,Nashik,0.336
2021_08_13,Nashik,0.346
2021_08_18,Nashik,0.431
2021_08_23,Nashik,0.434
2021_08_28,Nashik,0.511
2021_09_02,Nashik,0.569
2021_09_07,Nashik,0.57
2021_09_12,Nashik,0.599
2021_09_17,Nashik,0.745
2021_09_22,Nashik,0.684
2021_09_27,Nashik,0.665
2021_10_02,Nashik,0.68
2021_10_07,Nashik,0.616
2021_10_12,Nashik,0.643
2021_10_17,Nashik,0.472
2021_10_22,Nashik,0.505
2021_10_27,Nashik,0.409
2021_11_01,Nashik,0.448
2021_11_06,Nashik,0.354
2021_11_11,Nashik,0.402
2021_11_16,Nashik,0.407
2021_11_21,Nashik,0.404
2021_11_26,Nashik,0.449
2021_12_01,Nashik,0.507
2021_12_06,Nashik,0.528
2021_12_11,Nashik,0.565
2021_12_16,Nashik,0.611
2021_12_21,Nashik,0.638
2021_12_26,Nashik,0.63
2021_12_31,Nashik,0.587
2022_01_05,Nashik,0.661
2022_01_10,Nashik,0.626
2022_01_15,Nashik,0.479
2022_01_20,Nashik,0.48
2022_01_25,Nashik,0.461
2022_01_30,Nashik,0.39
2022_02_04,Nashik,0.321
2022_02_09,Nashik,0.348
2022_02_14,Nashik,0.363
2022_02_19,Nashik,0.409
2022_02_24,Nashik,0.466
2022_03_01,Nashik,0.419
2022_03_06,Nashik,0.632
2022_03_11,Nashik,0.673
2022_03_16,Nashik,0.632
2022_03_21,Nashik,0.772
2022_03_26,Nashik,0.686
2022_03_31,Nashik,0.726
2022_04_05,Nashik,0.661
2022_04_10,Nashik,0.679
2022_04_15,Nashik,0.613
2022_04_20,Nashik,0.514
2022_04_25,Nashik,0.389
2022_04_30,Nashik,0.378
2022_05_05,Nashik,0.259
2022_05_10,Nashik,0.324
2022_05_15,Nashik,0.366
2022_05_20,Nashik,0.343
2022_05_25,Nashik,0.434
2022_05_30,Nashik,0.551
2022_06_04,Nashik,0.531
2022_06_09,Nashik,0.5
2022_06_14,Nashik,0.729
2022_06_19,Nashik,0.682
2022_06_24,Nashik,0.661
2022_06_29,Nashik,0.688
2022_07_04,Nashik,0.611
2022_07_09,Nashik,0.687
2022_07_14,Nashik,0.728
2022_07_19,Nashik,0.474
2022_07_24,Nashik,0.485
2022_07_29,Nashik,0.379
2022_08_03,Nashik,0.402
2022_08_08,Nashik,0.324
2022_08_13,Nashik,0.365
2022_08_18,Nashik,0.35
2022_08_23,Nashik,0.37
2022_08_28,Nashik,0.508
2022_09_02,Nashik,0.582
2022_09_07,Nashik,0.561
2022_09_12,Nashik,0.608
2022_09_17,Nashik,0.717
2022_09_22,Nashik,0.655
2022_09_27,Nashik,0.813
2022_10_02,Nashik,0.737
2022_10_07,Nashik,0.685
2022_10_12,Nashik,0.559
2022_10_17,Nashik,0.459
2022_10_22,Nashik,0.382
2022_10_27,Nashik,0.391
2022_11_01,Nashik,0.341
2022_11_06,Nashik,0.327
2022_11_11,Nashik,0.353
2022_11_16,Nashik,0.369
2022_11_21,Nashik,0.428
2022_11_26,Nashik,0.439
2022_12_01,Nashik,0.509
2022_12_06,Nashik,0.555
2022_12_11,Nashik,0.61
2022_12_16,Nashik,0.673
2022_12_21,Nashik,0.703
2022_12_26,Nashik,0.752
2022_12_31,Nashik,0.727
2023_01_05,Nashik,0.626
2023_01_10,Nashik,0.579
2023_01_15,Nashik,0.474
2023_01_20,Nashik,0.427
2023_01_25,Nashik,0.505
2023_01_30,Nashik,0.399
2023_02_04,Nashik,0.356
2023_02_09,Nashik,0.387
2023_02_14,Nashik,0.354
2023_02_19,Nashik,0.493
2023_02_24,Nashik,0.481
2023_03_01,Nashik,0.473
2023_03_06,Nashik,0.528
2023_03_11,Nashik,0.622
2023_03_16,Nashik,0.651
2023_03_21,Nashik,0.738
2023_03_26,Nashik,0.716
2023_03_31,Nashik,0.792
2023_04_05,Nashik,0.674
2023_04_10,Nashik,0.661
2023_04_15,Nashik,0.483
2023_04_20,Nashik,0.501
2023_04_25,Nashik,0.469
2023_04_30,Nashik,0.377
2023_05_05,Nashik,0.447
2023_05_10,Nashik,0.358
2023_05_15,Nashik,0.381
2023_05_20,Nashik,0.368
2023_05_25,Nashik,0.406
2023_05_30,Nashik,0.499
2023_06_04,Nashik,0.501
2023_06_09,Nashik,0.539
2023_06_14,Nashik,0.635
2023_06_19,Nashik,0.658
2023_06_24,Nashik,0.714
2023_06_29,Nashik,0.686
2023_07_04,Nashik,0.633
2023_07_09,Nashik,0.602
2023_07_14,Nashik,0.608
2023_07_19,Nashik,0.506
2023_07_24,Nashik,0.442
2023_07_29,Nashik,0.391
2023_08_03,Nashik,0.359
2023_08_08,Nashik,0.367
2023_08_13,Nashik,0.207
2023_08_18,Nashik,0.397
2023_08_23,Nashik,0.369
2023_08_28,Nashik,0.487
2023_09_02,Nashik,0.477
2023_09_07,Nashik,0.59
2023_09_12,Nashik,0.643
2023_09_17,Nashik,0.74
2023_09_22,Nashik,0.715
2023_09_27,Nashik,0.695
2023_10_02,Nashik,0.64
2023_10_07,Nashik,0.613
2023_10_12,Nashik,0.598
2023_10_17,Nashik,0.602
2023_10_22,Nashik,0.457
2023_10_27,Nashik,0.374
2023_11_01,Nashik,0.404
2023_11_06,Nashik,0.387
2023_11_11,Nashik,0.387
2023_11_16,Nashik,0.297
2023_11_21,Nashik,0.439
2023_11_26,Nashik,0.457
2023_12_01,Nashik,0.544
2023_12_06,Nashik,0.619
2023_12_11,Nashik,0.657
2023_12_16,Nashik,0.649
2023_12_21,Nashik,0.718
2023_12_26,Nashik,0.76
2023_12_31,Nashik,0.654
2024_01_05,Nashik,0.614
2024_01_10,Nashik,0.62
2024_01_15,Nashik,0.555
2024_01_20,Nashik,0.476
2024_01_25,Nashik,0.454
2024_01_30,Nashik,0.402
2024_02_04,Nashik,0.334
2024_02_09,Nashik,0.361
2024_02_14,Nashik,0.415
2024_02_19,Nashik,0.349
2024_02_24,Nashik,0.451
2024_02_29,Nashik,0.461
2024_03_05,Nashik,0.599
2024_03_10,Nashik,0.546
2024_03_15,Nashik,0.719
2024_03_20,Nashik,0.677
2024_03_25,Nashik,0.691
2024_03_30,Nashik,0.722
2024_04_04,Nashik,0.738
2024_04_09,Nashik,0.652
2024_04_14,Nashik,0.588
2024_04_19,Nashik,0.521
2024_04_24,Nashik,0.48
2024_04_29,Nashik,0.395
2024_05_04,Nashik,0.268
2024_05_09,Nashik,0.37
2024_05_14,Nashik,0.35
2024_05_19,Nashik,0.335
2024_05_24,Nashik,0.388
2024_05_29,Nashik,0.441
2024_06_03,Nashik,0.541
2024_06_08,Nashik,0.562
2024_06_13,Nashik,0.632
2024_06_18,Nashik,0.657
2024_06_23,Nashik,0.634
2024_06_28,Nashik,0.708
2024_07_03,Nashik,0.68
2024_07_08,Nashik,0.577
2024_07_13,Nashik,0.667
2024_07_18,Nashik,0.546
2024_07_23,Nashik,0.46
2024_07_28,Nashik,0.37
2024_08_02,Nashik,0.357
2024_08_07,Nashik,0.316
2024_08_12,Nashik,0.361
2024_08_17,Nashik,0.425
2024_08_22,Nashik,0.395
2024_08_27,Nashik,0.52
2024_09_01,Nashik,0.502
2024_09_06,Nashik,0.621
2024_09_11,Nashik,0.682
2024_09_16,Nashik,0.704
2024_09_21,Nashik,0.69
2024_09_26,Nashik,0.647
2024_10_01,Nashik,0.62
2024_10_06,Nashik,0.687
2024_10_11,Nashik,0.628
2024_10_16,Nashik,0.577
2024_10_21,Nashik,0.451
2024_10_26,Nashik,0.506
2024_10_31,Nashik,0.365
2024_11_05,Nashik,0.387
2024_11_10,Nashik,0.302
2024_11_15,Nashik,0.338
2024_11_20,Nashik,0.405
2024_11_25,Nashik,0.362
2024_11_30,Nashik,0.443
2024_12_05,Nashik,0.626
2024_12_10,Nashik,0.621
2024_12_15,Nashik,0.676
2024_12_20,Nashik,0.66
2024_12_25,Nashik,0.746
2024_12_30,Nashik,0.683
2025_01_04,Nashik,0.68
2025_01_09,Nashik,0.571
2025_01_14,Nashik,0.635
2025_01_19,Nashik,0.528
2025_01_24,Nashik,0.472
2025_01_29,Nashik,0.459
2025_02_03,Nashik,0.335
2025_02_08,Nashik,0.38
2025_02_13,Nashik,0.348
2025_02_18,Nashik,0.389
2025_02_23,Nashik,0.501
2025_02_28,Nashik,0.46
2025_03_05,Nashik,0.498
2025_03_10,Nashik,0.581
2025_03_15,Nashik,0.65
2025_03_20,Nashik,0.678
2025_03_25,Nashik,0.737
2025_03_30,Nashik,0.703
2025_04_04,Nashik,0.644
2025_04_09,Nashik,0.657
2025_04_14,Nashik,0.585
2025_04_19,Nashik,0.484
2025_04_24,Nashik,0.48
2025_04_29,Nashik,0.408
2025_05_04,Nashik,0.327
2025_05_09,Nashik,0.343
2025_05_14,Nashik,0.333
2025_05_19,Nashik,0.369
2025_05_24,Nashik,0.425
2025_05_29,Nashik,0.465
2025_06_03,Nashik,0.488
2025_06_08,Nashik,0.644
2025_06_13,Nashik,0.624
2025_06_18,Nashik,0.697
2025_06_23,Nashik,0.75
2025_06_28,Nashik,0.7
2025_07_03,Nashik,0.669
2025_07_08,Nashik,0.647
2025_07_13,Nashik,0.603
2025_07_18,Nashik,0.567
2025_07_23,Nashik,0.536
2025_07_28,Nashik,0.412
2025_08_02,Nashik,0.275
2025_08_07,Nashik,0.396
2025_08_12,Nashik,0.302
2025_08_17,Nashik,0.443
2025_08_22,Nashik,0.446
2025_08_27,Nashik,0.406
2025_09_01,Nashik,0.491
2025_09_06,Nashik,0.585
2025_09_11,Nashik,0.692
2025_09_16,Nashik,0.662
2025_09_21,Nashik,0.67
2025_09_26,Nashik,0.688
2025_10_01,Nashik,0.598
2025_10_06,Nashik,0.703
2025_10_11,Nashik,0.656
2025_10_16,Nashik,0.541
2025_10_21,Nashik,0.551
2025_10_26,Nashik,0.363
2025_10_31,Nashik,0.401
2025_11_05,Nashik,0.393
2025_11_10,Nashik,0.383
2025_11_15,Nashik,0.414
2025_11_20,Nashik,0.357
2025_11_25,Nashik,0.427
2025_11_30,Nashik,0.553
2025_12_05,Nashik,0.491
2025_12_10,Nashik,0.637
2025_12_15,Nashik,0.661
2025_12_20,Nashik,0.731
2025_12_25,Nashik,0.697
2025_12_30,Nashik,0.687
2019_01_01,Agra,0.73
2019_01_06,Agra,0.671
2019_01_11,Agra,0.518
2019_01_16,Agra,0.535
2019_01_21,Agra,0.549
2019_01_26,Agra,0.455
2019_01_31,Agra,0.371
2019_02_05,Agra,0.414
2019_02_10,Agra,0.411
2019_02_15,Agra,0.296
2019_02_20,Agra,0.442
2019_02_25,Agra,0.415
2019_03_02,Agra,0.566
2019_03_07,Agra,0.502
2019_03_12,Agra,0.573
2019_03_17,Agra,0.634
2019_03_22,Agra,0.628
2019_03_27,Agra,0.761
2019_04_01,Agra,0.743
2019_04_06,Agra,0.62
2019_04_11,Agra,0.649
2019_04_16,Agra,0.513
2019_04_21,Agra,0.462
2019_04_26,Agra,0.325
2019_05_01,Agra,0.367
2019_05_06,Agra,0.418
2019_05_11,Agra,0.385
2019_05_16,Agra,0.351
2019_05_21,Agra,0.442
2019_05_26,Agra,0.381
2019_05_31,Agra,0.511
2019_06_05,Agra,0.532
2019_06_10,Agra,0.649
2019_06_15,Agra,0.61
2019_06_20,Agra,0.684
2019_06_25,Agra,0.57
2019_06_30,Agra,0.638
2019_07_05,Agra,0.588
2019_07_10,Agra,0.566
2019_07_15,Agra,0.548
2019_07_20,Agra,0.456
2019_07_25,Agra,0.42
2019_07_30,Agra,0.413
2019_08_04,Agra,0.358
2019_08_09,Agra,0.409
2019_08_14,Agra,0.368
2019_08_19,Agra,0.357
2019_08_24,Agra,0.433
2019_08_29,Agra,0.506
2019_09_03,Agra,0.518
2019_09_08,Agra,0.633
2019_09_13,Agra,0.565
2019_09_18,Agra,0.634
2019_09_23,Agra,0.804
2019_09_28,Agra,0.653
2019_10_03,Agra,0.616
2019_10_08,Agra,0.672
2019_10_13,Agra,0.627
2019_10_18,Agra,0.521
2019_10_23,Agra,0.432
2019_10_28,Agra,0.404
2019_11_02,Agra,0.394
2019_11_07,Agra,0.329
2019_11_12,Agra,0.378
2019_11_17,Agra,0.354
2019_11_22,Agra,0.402
2019_11_27,Agra,0.469
2019_12_02,Agra,0.394
2019_12_07,Agra,0.581
2019_12_12,Agra,0.62
2019_12_17,Agra,0.675
2019_12_22,Agra,0.595
2019_12_27,Agra,0.667
2020_01_01,Agra,0.714
2020_01_06,Agra,0.603
2020_01_11,Agra,0.595
2020_01_16,Agra,0.457
2020_01_21,Agra,0.46
2020_01_26,Agra,0.406
2020_01_31,Agra,0.349
2020_02_05,Agra,0.362
2020_02_10,Agra,0.342
2020_02_15,Agra,0.356
2020_02_20,Agra,0.327
2020_02_25,Agra,0.451
2020_03_01,Agra,0.538
2020_03_06,Agra,0.517
2020_03_11,Agra,0.616
2020_03_16,Agra,0.725
2020_03_21,Agra,0.709
2020_03_26,Agra,0.689
2020_03_31,Agra,0.729
2020_04_05,Agra,0.707
2020_04_10,Agra,0.645
2020_04_15,Agra,0.566
2020_04_20,Agra,0.51
2020_04_25,Agra,0.39
2020_04_30,Agra,0.345
2020_05_05,Agra,0.52
2020_05_10,Agra,0.346
2020_05_15,Agra,0.354
2020_05_20,Agra,0.321
2020_05_25,Agra,0.445
2020_05_30,Agra,0.402
2020_06_04,Agra,0.605
2020_06_09,Agra,0.572
2020_06_14,Agra,0.763
2020_06_19,Agra,0.682
2020_06_24,Agra,0.724
2020_06_29,Agra,0.632
2020_07_04,Agra,0.654
2020_07_09,Agra,0.562
2020_07_14,Agra,0.574
2020_07_19,Agra,0.516
2020_07_24,Agra,0.362
2020_07_29,Agra,0.359
2020_08_03,Agra,0.374
2020_08_08,Agra,0.344
2020_08_13,Agra,0.378
2020_08_18,Agra,0.321
2020_08_23,Agra,0.38
2020_08_28,Agra,0.444
2020_09_02,Agra,0.509
2020_09_07,Agra,0.574
2020_09_12,Agra,0.637
2020_09_17,Agra,0.729
2020_09_22,Agra,0.718
2020_09_27,Agra,0.712
2020_10_02,Agra,0.657
2020_10_07,Agra,0.632
2020_10_12,Agra,0.559
2020_10_17,Agra,0.544
2020_10_22,Agra,0.498
2020_10_27,Agra,0.476
2020_11_01,Agra,0.344
2020_11_06,Agra,0.349
2020_11_11,Agra,0.417
2020_11_16,Agra,0.347
2020_11_21,Agra,0.398
2020_11_26,Agra,0.397
2020_12_01,Agra,0.482
2020_12_06,Agra,0.58
2020_12_11,Agra,0.586
2020_12_16,Agra,0.67
2020_12_21,Agra,0.651
2020_12_26,Agra,0.697
2020_12_31,Agra,0.697
2021_01_05,Agra,0.676
2021_01_10,Agra,0.604
2021_01_15,Agra,0.607
2021_01_20,Agra,0.483
2021_01_25,Agra,0.506
2021_01_30,Agra,0.367
2021_02_04,Agra,0.369
2021_02_09,Agra,0.376
2021_02_14,Agra,0.357
2021_02_19,Agra,0.378
2021_02_24,Agra,0.436
2021_03_01,Agra,0.493
2021_03_06,Agra,0.538
2021_03_11,Agra,0.675
2021_03_16,Agra,0.636
2021_03_21,Agra,0.645
2021_03_26,Agra,0.711
2021_03_31,Agra,0.633
2021_04_05,Agra,0.711
2021_04_10,Agra,0.617
2021_04_15,Agra,0.58
2021_04_20,Agra,0.45
2021_04_25,Agra,0.42
2021_04_30,Agra,0.404
2021_05_05,Agra,0.409
2021_05_10,Agra,0.343
2021_05_15,Agra,0.376
2021_05_20,Agra,0.307
2021_05_25,Agra,0.471
2021_05_30,Agra,0.475
2021_06_04,Agra,0.525
2021_06_09,Agra,0.625
2021_06_14,Agra,0.636
2021_06_19,Agra,0.714
2021_06_24,Agra,0.715
2021_06_29,Agra,0.752
2021_07_04,Agra,0.69
2021_07_09,Agra,0.682
2021_07_14,Agra,0.595
2021_07_19,Agra,0.575
2021_07_24,Agra,0.472
2021_07_29,Agra,0.398
2021_08_03,Agra,0.414
2021_08_08,Agra,0.381
2021_08_13,Agra,0.364
2021_08_18,Agra,0.348
2021_08_23,Agra,0.387
2021_08_28,Agra,0.513
2021_09_02,Agra,0.526
2021_09_07,Agra,0.593
2021_09_12,Agra,0.64
2021_09_17,Agra,0.655
2021_09_22,Agra,0.633
2021_09_27,Agra,0.657
2021_10_02,Agra,0.642
2021_10_07,Agra,0.687
2021_10_12,Agra,0.566
2021_10_17,Agra,0.572
2021_10_22,Agra,0.56
2021_10_27,Agra,0.455
2021_11_01,Agra,0.341
2021_11_06,Agra,0.33
2021_11_11,Agra,0.339
2021_11_16,Agra,0.443
2021_11_21,Agra,0.367
2021_11_26,Agra,0.451
2021_12_01,Agra,0.435
2021_12_06,Agra,0.589
2021_12_11,Agra,0.596
2021_12_16,Agra,0.715
2021_12_21,Agra,0.649
2021_12_26,Agra,0.652
2021_12_31,Agra,0.641
2022_01_05,Agra,0.696
2022_01_10,Agra,0.62
2022_01_15,Agra,0.612
2022_01_20,Agra,0.449
2022_01_25,Agra,0.401
2022_01_30,Agra,0.342
2022_02_04,Agra,0.316
2022_02_09,Agra,0.405
2022_02_14,Agra,0.378
2022_02_19,Agra,0.417
2022_02_24,Agra,0.409
2022_03_01,Agra,0.49
2022_03_06,Agra,0.548
2022_03_11,Agra,0.593
2022_03_16,Agra,0.65
2022_03_21,Agra,0.661
2022_03_26,Agra,0.702
2022_03_31,Agra,0.744
2022_04_05,Agra,0.716
2022_04_10,Agra,0.612
2022_04_15,Agra,0.55
2022_04_20,Agra,0.522
2022_04_25,Agra,0.504
2022_04_30,Agra,0.389
2022_05_05,Agra,0.469
2022_05_10,Agra,0.372
2022_05_15,Agra,0.361
2022_05_20,Agra,0.434
2022_05_25,Agra,0.399
2022_05_30,Agra,0.509
2022_06_04,Agra,0.546
2022_06_09,Agra,0.537
2022_06_14,Agra,0.588
2022_06_19,Agra,0.669
2022_06_24,Agra,0.669
2022_06_29,Agra,0.634
2022_07_04,Agra,0.664
2022_07_09,Agra,0.658
2022_07_14,Agra,0.548
2022_07_19,Agra,0.537
2022_07_24,Agra,0.466
2022_07_29,Agra,0.441
2022_08_03,Agra,0.35
2022_08_08,Agra,0.373
2022_08_13,Agra,0.365
2022_08_18,Agra,0.312
2022_08_23,Agra,0.403
2022_08_28,Agra,0.476
2022_09_02,Agra,0.564
2022_09_07,Agra,0.673
2022_09_12,Agra,0.62
2022_09_17,Agra,0.662
2022_09_22,Agra,0.687
2022_09_27,Agra,0.65
2022_10_02,Agra,0.695
2022_10_07,Agra,0.651
2022_10_12,Agra,0.568
2022_10_17,Agra,0.564
2022_10_22,Agra,0.417
2022_10_27,Agra,0.362
2022_11_01,Agra,0.409
2022_11_06,Agra,0.368
2022_11_11,Agra,0.389
2022_11_16,Agra,0.403
2022_11_21,Agra,0.41
2022_11_26,Agra,0.494
2022_12_01,Agra,0.603
2022_12_06,Agra,0.532
2022_12_11,Agra,0.604
2022_12_16,Agra,0.687
2022_12_21,Agra,0.709
2022_12_26,Agra,0.737
2022_12_31,Agra,0.676
2023_01_05,Agra,0.675
2023_01_10,Agra,0.619
2023_01_15,Agra,0.583
2023_01_20,Agra,0.441
2023_01_25,Agra,0.446
2023_01_30,Agra,0.4
2023_02_04,Agra,0.344
2023_02_09,Agra,0.361
2023_02_14,Agra,0.367
2023_02_19,Agra,0.369
2023_02_24,Agra,0.468
2023_03_01,Agra,0.473
2023_03_06,Agra,0.473
2023_03_11,Agra,0.582
2023_03_16,Agra,0.694
2023_03_21,Agra,0.699
2023_03_26,Agra,0.702
2023_03_31,Agra,0.714
2023_04_05,Agra,0.596
2023_04_10,Agra,0.59
2023_04_15,Agra,0.629
2023_04_20,Agra,0.505
2023_04_25,Agra,0.464
2023_04_30,Agra,0.38
2023_05_05,Agra,0.404
2023_05_10,Agra,0.407
2023_05_15,Agra,0.362
2023_05_20,Agra,0.31
2023_05_25,Agra,0.421
2023_05_30,Agra,0.532
2023_06_04,Agra,0.483
2023_06_09,Agra,0.532
2023_06_14,Agra,0.666
2023_06_19,Agra,0.655
2023_06_24,Agra,0.6
2023_06_29,Agra,0.673
2023_07_04,Agra,0.76
2023_07_09,Agra,0.65
2023_07_14,Agra,0.627
2023_07_19,Agra,0.478
2023_07_24,Agra,0.472
2023_07_29,Agra,0.399
2023_08_03,Agra,0.338
2023_08_08,Agra,0.328
2023_08_13,Agra,0.379
2023_08_18,Agra,0.452
2023_08_23,Agra,0.45
2023_08_28,Agra,0.405
2023_09_02,Agra,0.504
2023_09_07,Agra,0.511
2023_09_12,Agra,0.573
2023_09_17,Agra,0.689
2023_09_22,Agra,0.64
2023_09_27,Agra,0.723
2023_10_02,Agra,0.695
2023_10_07,Agra,0.628
2023_10_12,Agra,0.55
2023_10_17,Agra,0.575
2023_10_22,Agra,0.445
2023_10_27,Agra,0.447
2023_11_01,Agra,0.329
2023_11_06,Agra,0.347
2023_11_11,Agra,0.447
2023_11_16,Agra,0.333
2023_11_21,Agra,0.363
2023_11_26,Agra,0.377
2023_12_01,Agra,0.532
2023_12_06,Agra,0.655
2023_12_11,Agra,0.578
2023_12_16,Agra,0.632
2023_12_21,Agra,0.722
2023_12_26,Agra,0.708
2023_12_31,Agra,0.713
2024_01_05,Agra,0.614
2024_01_10,Agra,0.565
2024_01_15,Agra,0.537
2024_01_20,Agra,0.472
2024_01_25,Agra,0.5
2024_01_30,Agra,0.38
2024_02_04,Agra,0.387
2024_02_09,Agra,0.313
2024_02_14,Agra,0.392
2024_02_19,Agra,0.453
2024_02_24,Agra,0.485
2024_02_29,Agra,0.555
2024_03_05,Agra,0.521
2024_03_10,Agra,0.571
2024_03_15,Agra,0.583
2024_03_20,Agra,0.693
2024_03_25,Agra,0.662
2024_03_30,Agra,0.665
2024_04_04,Agra,0.628
