commodity,lag_days,correlation
Onion,26,0.14256026186641443
Onion,27,0.14096351543606023
Onion,28,0.1421893710940084
Onion,29,0.14311363968916435
Onion,30,0.13764796342361824
Paddy(Dhan),-30,0.1779182242699125
Paddy(Dhan),-29,0.17191792187188662
Paddy(Dhan),-28,0.17459551661590297
Paddy(Dhan),-27,0.17755538198875
Paddy(Dhan),-26,0.17051287213402067
Paddy(Dhan),-25,0.1768268903240718
Paddy(Dhan),-24,0.17508431825120024
Paddy(Dhan),-23,0.17085020097224893
Paddy(Dhan),-22,0.1705647112636657
Paddy(Dhan),-21,0.1794218501852455
Paddy(Dhan),-20,0.17713591804795556
Paddy(Dhan),-19,0.168194455026104
Paddy(Dhan),-18,0.17494358971481058
Paddy(Dhan),-17,0.17526988905876417
Paddy(Dhan),-16,0.16796840560208554
Paddy(Dhan),-15,0.17467608461288275
Paddy(Dhan),-14,0.16952321902848982
Paddy(Dhan),-13,0.17362438359006568
Paddy(Dhan),-12,0.1719009232101271
Paddy(Dhan),-11,0.17224178182597408
Paddy(Dhan),-10,0.1752094602433175
Paddy(Dhan),-9,0.17612187428685158
Paddy(Dhan),-8,0.1718125914468136
Paddy(Dhan),-7,0.17003545774311113
Paddy(Dhan),-6,0.17017634970493248
Paddy(Dhan),-5,0.17009874256065696
Paddy(Dhan),-4,0.17509076711262228
Paddy(Dhan),-3,0.1691678955308028
Paddy(Dhan),-2,0.16570104612377892
Paddy(Dhan),-1,0.16323793955788468
Paddy(Dhan),0,0.1870866569075483
Paddy(Dhan),1,0.16689954187446354
Paddy(Dhan),2,0.16712038775186197
Paddy(Dhan),3,0.16935146077513666
Paddy(Dhan),4,0.17322061854351326
Paddy(Dhan),5,0.16838786734587657
Paddy(Dhan),6,0.16794935368409825
Paddy(Dhan),7,0.1671446265389798
Paddy(Dhan),8,0.16687977105997967
Paddy(Dhan),9,0.17133351626763443
Paddy(Dhan),10,0.1676744091287068
Paddy(Dhan),11,0.16688291175061534
Paddy(Dhan),12,0.16875282809392714
Paddy(Dhan),13,0.17043951302934324
Paddy(Dhan),14,0.16125541038945387
Paddy(Dhan),15,0.16429145194593545
Paddy(Dhan),16,0.17294663268129512
Paddy(Dhan),17,0.16973257144961387
Paddy(Dhan),18,0.1664810006437399
Paddy(Dhan),19,0.16007367753809934
Paddy(Dhan),20,0.16888307087863783
Paddy(Dhan),21,0.1605472749642795
Paddy(Dhan),22,0.1629734925947112
Paddy(Dhan),23,0.15990388053265922
Paddy(Dhan),24,0.16584222500291787
Paddy(Dhan),25,0.1684405363146355
Paddy(Dhan),26,0.16443267528774883
Paddy(Dhan),27,0.16239050238083155
Paddy(Dhan),28,0.1604276801280327
Paddy(Dhan),29,0.15957339132582554
Paddy(Dhan),30,0.17150548283044967
Potato,-30,0.06169866841045644
Potato,-29,0.056325470086483344
Potato,-28,0.061668253624048625
Potato,-27,0.06149323365469569
Potato,-26,0.061430988767858324
Potato,-25,0.0627344170117921
Potato,-24,0.06251748609411416
Potato,-23,0.06457089692675756
Potato,-22,0.06148624649283691
Potato,-21,0.06092980470030035
Potato,-20,0.06430118605262958
Potato,-19,0.0677083466385759
Potato,-18,0.06033648163556354
Potato,-17,0.06678268707439818
Potato,-16,0.06256812774288753
Potato,-15,0.07061462253516618
Potato,-14,0.05716045565344291
Potato,-13,0.06498439366032278
Potato,-12,0.06364627621882833
Potato,-11,0.06708594290775702
Potato,-10,0.06191958718368241
Potato,-9,0.06871013020024949
Potato,-8,0.06525139434006912
Potato,-7,0.062218348561321316
Potato,-6,0.0699277031372206
Potato,-5,0.06520394630415685
Potato,-4,0.06442093325732574
Potato,-3,0.06316033025114431
Potato,-2,0.06941318303098495
Potato,-1,0.0755066967269257
Potato,0,0.07509212110622535
Potato,1,0.07193062987887955
Potato,2,0.060789930172635384
Potato,3,0.07004042923270362
Potato,4,0.06555832963037567
Potato,5,0.07138770092123294
Potato,6,0.07431225774127707
Potato,7,0.06847766645063147
Potato,8,0.07652485692161498
Potato,9,0.06872574937888815
Potato,10,0.06636758400760343
Potato,11,0.07056770457688824
Potato,12,0.07057920086936058
Potato,13,0.07055086910860484
Potato,14,0.07301756263946188
Potato,15,0.07067808698768724
Potato,16,0.07407453218015071
Potato,17,0.0742347130226319
Potato,18,0.07260569172666774
Potato,19,0.07134456897000041
Potato,20,0.07051985928267866
Potato,21,0.07450079716166637
Potato,22,0.0743661302147568
Potato,23,0.07553918651890346
Potato,24,0.07463518869758502
Potato,25,0.07502418648639375
Potato,26,0.07858512639747643
Potato,27,0.07612430546625994
Potato,28,0.07472037228631895
Potato,29,0.08081132063440169
Potato,30,0.07171369911724627
Soyabean,-30,0.12508379559477897
Soyabean,-29,0.12448710089547141
Soyabean,-28,0.11426607562488018
Soyabean,-27,0.11725626208573989
Soyabean,-26,0.1253482839964208
Soyabean,-25,0.12479171227231999
Soyabean,-24,0.11253777603694283
Soyabean,-23,0.11527778902329663
Soyabean,-22,0.11822683856059045
Soyabean,-21,0.12118834120006329
Soyabean,-20,0.11105559147893507
Soyabean,-19,0.11124548761332542
Soyabean,-18,0.12047430713464943
Soyabean,-17,0.11867714062470364
Soyabean,-16,0.11562019059554682
Soyabean,-15,0.11486764571569924
Soyabean,-14,0.11545450203119609
Soyabean,-13,0.11421189151156837
Soyabean,-12,0.11394291694723899
Soyabean,-11,0.11209514021058309
Soyabean,-10,0.11630189316359323
Soyabean,-9,0.11077215212561926
Soyabean,-8,0.10922759877629325
Soyabean,-7,0.11324226394757078
Soyabean,-6,0.10980110712200317
Soyabean,-5,0.11103103394087463
Soyabean,-4,0.10581955999810963
Soyabean,-3,0.11076853823878169
Soyabean,-2,0.10847398434914268
Soyabean,-1,0.11319633592740512
Soyabean,0,0.10298302794016906
Soyabean,1,0.10473280469741451
Soyabean,2,0.1086121249614986
Soyabean,3,0.11045766567993787
Soyabean,4,0.10101839847165298
Soyabean,5,0.10490669535442035
Soyabean,6,0.10217945036114352
Soyabean,7,0.10214094037376283
Soyabean,8,0.10333369941815038
Soyabean,9,0.11049315631015195
Soyabean,10,0.10129449806333501
Soyabean,11,0.0979054871869358
Soyabean,12,0.10601488466571131
Soyabean,13,0.09567059329007539
Soyabean,14,0.09967204132958285
Soyabean,15,0.09906425598424663
Soyabean,16,0.1004532188772968
Soyabean,17,0.09548109302450714
Soyabean,18,0.10089733837491499
Soyabean,19,0.09310349905946429
Soyabean,20,0.0953572606229804
Soyabean,21,0.09260529067675127
Soyabean,22,0.09576739670962395
Soyabean,23,0.08991838117929922
Soyabean,24,0.09231247692556116
Soyabean,25,0.09597189470895705
Soyabean,26,0.09741444814977503
Soyabean,27,0.09478736005808538
Soyabean,28,0.09177102551027576
Soyabean,29,0.0902581752817217
Soyabean,30,0.08366576179040683
Tomato,-30,0.1530393618727607
Tomato,-29,0.15217885999165412
Tomato,-28,0.15605147354244597
Tomato,-27,0.15507065745185347
Tomato,-26,0.15360216827599052
Tomato,-25,0.1544951839291164
Tomato,-24,0.15510381920898614
Tomato,-23,0.15749641510826956
Tomato,-22,0.15201299497156492
Tomato,-21,0.1473895128320223
Tomato,-20,0.1577686062010396
Tomato,-19,0.1559667561522825
Tomato,-18,0.15712596260647643
Tomato,-17,0.15721395991540302
Tomato,-16,0.15779952435936545
Tomato,-15,0.15289056880028137
Tomato,-14,0.16167809208274533
Tomato,-13,0.15372417722132706
Tomato,-12,0.15970414571688632
Tomato,-11,0.15835364217633274
Tomato,-10,0.14536132610344432
Tomato,-9,0.16859329168022852
Tomato,-8,0.16120764236295848
Tomato,-7,0.15395762358506523
Tomato,-6,0.15459919796249738
Tomato,-5,0.1528695062847795
Tomato,-4,0.15864512783896823
Tomato,-3,0.14781463589728366
Tomato,-2,0.15782783670298076
Tomato,-1,0.1605185029434392
Tomato,0,0.16490677371558138
Tomato,1,0.15106854997389826
Tomato,2,0.16270920793993218
Tomato,3,0.15317966300610175
Tomato,4,0.16734353265539934
Tomato,5,0.1556512586569861
Tomato,6,0.15584732366207646
Tomato,7,0.15358064202283483
Tomato,8,0.16272259837111222
Tomato,9,0.16467839275438725
Tomato,10,0.1503166370876513
Tomato,11,0.1662993884493909
Tomato,12,0.15728696749082663
Tomato,13,0.15910261635922213
Tomato,14,0.15078361109010668
Tomato,15,0.15265197635335528
Tomato,16,0.1641498516334876
Tomato,17,0.1638783248096382
Tomato,18,0.16235243065935484
Tomato,19,0.16183314717698433
Tomato,20,0.15388135566643024
Tomato,21,0.15706835303837025
Tomato,22,0.15925008941198152
Tomato,23,0.16174009672591103
Tomato,24,0.15091752481536636
Tomato,25,0.15994307492849155
Tomato,26,0.16542923540894794
Tomato,27,0.15973866839492284
Tomato,28,0.16013622017676682
Tomato,29,0.15562227641845267
Tomato,30,0.16274293066567855
Wheat,-30,-0.08698501346344065
Wheat,-29,-0.0865051474232676
Wheat,-28,-0.08931953518542217
Wheat,-27,-0.08595827646997091
Wheat,-26,-0.08190897599389978
Wheat,-25,-0.0856350907843328
Wheat,-24,-0.08294104013232585
Wheat,-23,-0.08515194637804127
Wheat,-22,-0.0769998407458361
Wheat,-21,-0.08449601839280572
Wheat,-20,-0.08012769414998502
Wheat,-19,-0.08343925890501594
Wheat,-18,-0.08095341291247019
Wheat,-17,-0.08276387362307405
Wheat,-16,-0.07866917287017147
Wheat,-15,-0.08503140295966855
Wheat,-14,-0.08293769974674005
Wheat,-13,-0.07908678759894593
Wheat,-12,-0.08168490719222997
Wheat,-11,-0.08038298256885097
Wheat,-10,-0.08088860661042664
Wheat,-9,-0.0770863166285695
Wheat,-8,-0.07811632447544616
Wheat,-7,-0.07849538687203599
Wheat,-6,-0.07998904831359185
Wheat,-5,-0.07502713956720243
Wheat,-4,-0.07727198197387936
Wheat,-3,-0.0777292883289923
Wheat,-2,-0.07983662078164877
Wheat,-1,-0.07486106304881386
Wheat,0,-0.0799046766844327
Wheat,1,-0.07396202111797792
Wheat,2,-0.07190236904383698
Wheat,3,-0.07592961541860514
Wheat,4,-0.07515947152813907
Wheat,5,-0.07590127775311903
Wheat,6,-0.07565393624985577
Wheat,7,-0.07478237833341768
Wheat,8,-0.07150194221384916
Wheat,9,-0.07184650860516358
Wheat,10,-0.07775068287594757
Wheat,11,-0.07434652129283616
Wheat,12,-0.07202845328954156
Wheat,13,-0.0701552396755647
Wheat,14,-0.0707724023929979
Wheat,15,-0.070969250030363
Wheat,16,-0.07565527917575195
Wheat,17,-0.07235881208532342
Wheat,18,-0.06942799674863119
Wheat,19,-0.06707426896673586
Wheat,20,-0.07062288461882234
Wheat,21,-0.07158739624537705
Wheat,22,-0.06830906053454623
Wheat,23,-0.07268956548505773
Wheat,24,-0.07042144066767399
Wheat,25,-0.06866227910172294
Wheat,26,-0.07213097726665466
Wheat,27,-0.06755323659587206
Wheat,28,-0.06819783367628689
Wheat,29,-0.06846729838987373
Wheat,30,-0.0643343728593247
